county,poverty_rate_seniors_sup,poverty_rate_child_sup,poverty_rate_women_sup,poverty_rate_all_sup,unemployment_rate_sup,employment_growth_rank,population_growth_sup,gdp_growth_sup,food_stamps_all_households_sup,food_stamps_households_w_children_sup,food_stamps_black_households_sup,food_stamps_hispanic_households_sup,food_stamps_seniors_households_sup,opiod_prescription_per_100k_sup,housing_unit_growth_sup,home_ownership_growth_sup,renter_cost_burdened_sup,home_owner_cost_burdened_sup,all_housing_cost_burdened_sup,median_rent_increase_sup,New Home Sales,new_home_sales_sup,crimes_per_100k_sup,voter_registration_2022_sup,registered_voter_turnout_2022_sup,voter_registration_2020_sup,registered_voter_turnout_2020_sup,new_poll_workers_sup,post_hs_attainment_sup,child_care_per_1000_children_under_five_sup,one_parent_household_sup,child_food_insecurity_sup,children_households_public_assistance_sup,uninsured_low_income_sup,uninsured_children_sup,uninsured_adults_sup,uninsured_women_sup
Anderson,1720,2857,6658,11582,1173,9396,1346,5753009,3953,1745,409,18,1337,15347,817,1260.818,3653,3674,7327,218,151,29281,4229,50324,21638,50334,35812,11,18678,50,4387,2040,4087,2509,658 ,6497,3118
Bedford,305,2565,3816,6664,731,3667,793,2227334,2318,1159,481,182,688,8687,1867,1368.62,2254,2627,4881,129,215,14086,2630,28506,10705,27107,19193,5,7532,33,3785,1450,3313,1635,941 ,5354,2723
Benton,385,655,1669,2842,278,575,163,402589,1030,465,18,0,388,3567,-450,-88.6970000000001,527,653,1180,173,7,6646,637,10967,4150,10711,7279,5,2124,5,717,510,1224,634,123 ,1675,1044
Bledsoe,267,626,1409,2870,231,493,-46,232583,1039,468,0,3,344,2956,203,374.594,311,620,931,149,4,3904,383,8813,3475,8460,5831,3,1831,8,517,370,1048,797,204 ,2248,812
Blount,1906,3451,7028,12526,2042,19230,2309,6626401,3658,1723,203,212,1250,24850,5806,3432.556,4827,6212,11039,213,273,42499,6037,93116,39930,91387,66807,25,34064,71,5175,1990,4216,1990,"2,267 ",10170,5140
Bradley,1969,4157,7966,14818,1812,13213,847,4812055,5536,2669,435,496,1625,20223,4012,2004.915,5415,4347,9762,171,342,32898,8200,75605,25345,73686,48063,12,25260,54,5934,2830,6505,3073,"1,361 ",10351,4902
Campbell,968,1884,3952,7290,618,1272,175,994736,3554,1508,0,15,1240,7743,501,-39.5839999999971,1701,2067,3768,133,31,15819,1424,23158,7671,25237,14990,20,5478,25,1801,1450,3046,1564,343 ,4208,1917
Cannon,281,771,1433,2434,208,802,253,312201,722,248,45,13,304,2871,369,403.438,367,715,1082,56,30,4594,235,9673,3858,9053,6605,0,2548,9,579,390,476,734,301 ,1290,713
Carroll,484,1335,2549,4769,453,-513,171,643026,1518,867,169,1,491,5667,-92,15.5849999999991,968,1243,2211,134,1,10740,1141,17381,7280,17232,12104,12,5240,14,1335,880,1977,994,304 ,2761,929
Carter,1381,2800,5455,10366,875,3174,350,1103034,3681,1713,194,0,1292,10898,301,889.420000000002,2079,3067,5146,121,24,23211,1598,34898,14627,36452,24596,3,12343,30,2473,1610,3792,2032,599 ,6146,3059
