county,n_14_and_under,n_15_24,n_25_34,n_35_44,n_45_54,n_55_64,n_65_plus,n_total,p_14_and_under,p_15_24,p_25_34,p_35_44,p_45_54,p_55_64,p_65_plus,p_total
total,1260759,904301,949412,871132,877670,905185,1155313,6923772,18%,13%,14%,13%,13%,13%,17%,100%
"Anderson County, Tennessee",13504,8690,9803,8843,10012,10899,15586,77337,17%,11%,13%,11%,13%,14%,20%,100%
"Bedford County, Tennessee",10477,6264,7116,6201,6753,6366,7356,50533,21%,12%,14%,12%,13%,13%,15%,100%
"Benton County, Tennessee",2522,1820,1484,1637,2167,2549,3754,15933,16%,11%,9%,10%,14%,16%,24%,100%
"Bledsoe County, Tennessee",2027,1348,2133,2008,2107,2332,2861,14816,14%,9%,14%,14%,14%,16%,19%,100%
"Blount County, Tennessee",21950,15836,16277,15921,18052,19891,28024,135951,16%,12%,12%,12%,13%,15%,21%,100%
"Bradley County, Tennessee",19328,14924,13743,13324,14488,14418,18634,108859,18%,14%,13%,12%,13%,13%,17%,100%
"Campbell County, Tennessee",6668,4321,4688,4450,5594,5553,8123,39397,17%,11%,12%,11%,14%,14%,21%,100%
"Cannon County, Tennessee",2520,1633,1962,1713,1985,2153,2515,14481,17%,11%,14%,12%,14%,15%,17%,100%
"Carroll County, Tennessee",5147,3813,3357,2945,3574,3835,5710,28381,18%,13%,12%,10%,13%,14%,20%,100%
"Carter County, Tennessee",8149,6103,6906,6204,7927,8587,12439,56315,14%,11%,12%,11%,14%,15%,22%,100%
"Cheatham County, Tennessee",7093,4751,5235,5408,5924,6384,6389,41184,17%,12%,13%,13%,14%,16%,16%,100%
"Chester County, Tennessee",3065,3041,2056,1910,2187,2130,3003,17392,18%,17%,12%,11%,13%,12%,17%,100%
"Claiborne County, Tennessee",4966,4070,4295,3557,4290,4604,6310,32092,15%,13%,13%,11%,13%,14%,20%,100%
"Clay County, Tennessee",1169,913,572,944,1007,1153,1834,7592,15%,12%,8%,12%,13%,15%,24%,100%
"Cocke County, Tennessee",6096,3820,4010,3901,4827,5691,7841,36186,17%,11%,11%,11%,13%,16%,22%,100%
"Coffee County, Tennessee",11501,7106,7402,6915,7234,7805,10117,58080,20%,12%,13%,12%,12%,13%,17%,100%
"Crockett County, Tennessee",2756,1719,1716,1565,1665,1889,2645,13955,20%,12%,12%,11%,12%,14%,19%,100%
"Cumberland County, Tennessee",8655,5373,6091,5663,6709,9671,19390,61552,14%,9%,10%,9%,11%,16%,32%,100%
"Davidson County, Tennessee",122858,91547,143463,100605,80535,80008,90770,709786,17%,13%,20%,14%,11%,11%,13%,100%
"Decatur County, Tennessee",1896,1265,1140,1316,1441,1726,2699,11483,17%,11%,10%,11%,13%,15%,24%,100%
"DeKalb County, Tennessee",3536,2287,2426,2498,2717,2968,3777,20209,17%,11%,12%,12%,13%,15%,19%,100%
"Dickson County, Tennessee",10194,6450,7130,7293,7017,7590,8889,54563,19%,12%,13%,13%,13%,14%,16%,100%
"Dyer County, Tennessee",7192,4607,4352,4351,4806,5034,6476,36818,20%,13%,12%,12%,13%,14%,18%,100%
"Fayette County, Tennessee",6255,4444,4725,4725,5646,7162,9271,42228,15%,11%,11%,11%,13%,17%,22%,100%
"Fentress County, Tennessee",3155,2034,1904,1994,2495,2836,4224,18642,17%,11%,10%,11%,13%,15%,23%,100%
"Franklin County, Tennessee",6884,6536,4752,4550,5300,6247,8711,42980,16%,15%,11%,11%,12%,15%,20%,100%
"Gibson County, Tennessee",10074,5940,6087,6557,6241,6725,8831,50455,20%,12%,12%,13%,12%,13%,18%,100%
"Giles County, Tennessee",5117,3818,3429,3190,3767,4734,6262,30317,17%,13%,11%,11%,12%,16%,21%,100%
"Grainger County, Tennessee",3701,2777,2556,2600,3483,3625,4906,23648,16%,12%,11%,11%,15%,15%,21%,100%
"Greene County, Tennessee",10767,8966,7817,7903,9191,10407,15348,70399,15%,13%,11%,11%,13%,15%,22%,100%
"Grundy County, Tennessee",2351,1576,1563,1565,1811,1911,2773,13550,17%,12%,12%,12%,13%,14%,20%,100%
"Hamblen County, Tennessee",12347,7855,7664,7583,8831,8532,11719,64531,19%,12%,12%,12%,14%,13%,18%,100%
"Hamilton County, Tennessee",63526,44433,52823,46255,45451,48226,66479,367193,17%,12%,14%,13%,12%,13%,18%,100%
"Hancock County, Tennessee",1163,713,735,756,826,1029,1504,6726,17%,11%,11%,11%,12%,15%,22%,100%
"Hardeman County, Tennessee",3957,3126,3775,3335,3255,3359,4712,25519,16%,12%,15%,13%,13%,13%,18%,100%
"Hardin County, Tennessee",4297,3149,2854,2862,3410,4072,6180,26824,16%,12%,11%,11%,13%,15%,23%,100%
"Hawkins County, Tennessee",8785,6711,6416,6219,8127,8590,12259,57107,15%,12%,11%,11%,14%,15%,21%,100%
"Haywood County, Tennessee",3183,2139,2051,2139,2117,2662,3515,17806,18%,12%,12%,12%,12%,15%,20%,100%
"Henderson County, Tennessee",5120,3465,3021,3551,3601,3943,5144,27845,18%,12%,11%,13%,13%,14%,18%,100%
"Henry County, Tennessee",5448,3482,3307,3540,4015,4963,7550,32305,17%,11%,10%,11%,12%,15%,23%,100%
"Hickman County, Tennessee",4248,2856,3409,3208,3402,3535,4338,24996,17%,11%,14%,13%,14%,14%,17%,100%
"Houston County, Tennessee",1465,979,925,919,1135,1171,1659,8253,18%,12%,11%,11%,14%,14%,20%,100%
"Humphreys County, Tennessee",3455,2238,2100,2160,2486,2747,3846,19032,18%,12%,11%,11%,13%,14%,20%,100%
"Jackson County, Tennessee",1727,1233,1239,1319,1598,1978,2636,11730,15%,11%,11%,11%,14%,17%,22%,100%
"Jefferson County, Tennessee",8467,7091,6093,6099,7493,8637,11137,55017,15%,13%,11%,11%,14%,16%,20%,100%
"Johnson County, Tennessee",2433,1822,2209,2158,2567,2640,4153,17982,14%,10%,12%,12%,14%,15%,23%,100%
"Knox County, Tennessee",82375,76458,65746,61003,59119,59358,77347,481406,17%,16%,14%,13%,12%,12%,16%,100%
"Lake County, Tennessee",797,837,978,1162,1119,940,1065,6898,12%,12%,14%,17%,16%,14%,15%,100%
"Lauderdale County, Tennessee",4579,3456,3391,3458,2967,3300,4020,25171,18%,14%,13%,14%,12%,13%,16%,100%
"Lawrence County, Tennessee",9111,5427,5535,5076,5577,5856,7795,44377,21%,12%,12%,11%,13%,13%,18%,100%
"Lewis County, Tennessee",2275,1619,1353,1457,1632,1727,2574,12637,18%,13%,11%,12%,13%,14%,20%,100%
"Lincoln County, Tennessee",6531,4064,3948,3864,4783,5367,6808,35365,18%,11%,11%,11%,14%,15%,19%,100%
"Loudon County, Tennessee",8789,5581,5125,5636,6959,8474,14943,55507,16%,10%,9%,10%,13%,15%,27%,100%
"McMinn County, Tennessee",9199,6647,6275,5968,7111,7717,10615,53532,17%,12%,12%,11%,13%,14%,20%,100%
"McNairy County, Tennessee",4423,3191,3062,2969,3302,3583,5365,25895,17%,12%,12%,11%,13%,14%,21%,100%
"Macon County, Tennessee",5280,3198,3321,2980,3234,3395,3957,25365,21%,13%,13%,12%,13%,13%,16%,100%
"Madison County, Tennessee",18077,14092,12661,11525,11749,13449,17091,98644,18%,14%,13%,12%,12%,14%,17%,100%
"Marion County, Tennessee",4867,3292,3349,3322,3896,4355,5771,28852,17%,11%,12%,12%,14%,15%,20%,100%
"Marshall County, Tennessee",6630,4410,4530,4286,4367,4661,5683,34567,19%,13%,13%,12%,13%,13%,16%,100%
"Maury County, Tennessee",19430,11615,14211,13813,12196,13791,16946,102002,19%,11%,14%,14%,12%,14%,17%,100%
"Meigs County, Tennessee",2120,1397,1378,1429,1920,1881,2714,12839,17%,11%,11%,11%,15%,15%,21%,100%
"Monroe County, Tennessee",7805,5182,5286,5164,6092,6970,9990,46489,17%,11%,11%,11%,13%,15%,21%,100%
"Montgomery County, Tennessee",50673,33636,40964,30877,23639,21289,21227,222305,23%,15%,18%,14%,11%,10%,10%,100%
"Moore County, Tennessee",984,787,630,727,903,1134,1393,6558,15%,12%,10%,11%,14%,17%,21%,100%
"Morgan County, Tennessee",3283,2538,2873,2615,3042,2909,3864,21124,16%,12%,14%,12%,14%,14%,18%,100%
"Obion County, Tennessee",5529,3498,3522,3805,3819,4225,6272,30670,18%,11%,11%,12%,12%,14%,20%,100%
"Overton County, Tennessee",3832,2792,2595,2573,3016,3230,4538,22576,17%,12%,11%,11%,13%,14%,20%,100%
"Perry County, Tennessee",1536,1103,882,973,985,1126,1827,8432,18%,13%,10%,12%,12%,13%,22%,100%
"Pickett County, Tennessee",806,452,434,480,658,822,1390,5042,16%,9%,9%,10%,13%,16%,28%,100%
"Polk County, Tennessee",2771,1956,1829,1994,2614,2772,3684,17620,16%,11%,10%,11%,15%,16%,21%,100%
"Putnam County, Tennessee",13586,14904,10515,8977,9529,9558,13088,80157,17%,19%,13%,11%,12%,12%,16%,100%
"Rhea County, Tennessee",5843,4345,3853,3762,4278,4691,6259,33031,18%,13%,12%,11%,13%,14%,19%,100%
"Roane County, Tennessee",7974,5991,5701,5618,7470,8670,12353,53777,15%,11%,11%,10%,14%,16%,23%,100%
"Robertson County, Tennessee",14233,8714,9519,9793,9723,10369,10946,73297,19%,12%,13%,13%,13%,14%,15%,100%
"Rutherford County, Tennessee",69084,56693,50350,48809,44172,37330,37289,343727,20%,16%,15%,14%,13%,11%,11%,100%
"Scott County, Tennessee",4173,2826,2607,2768,2921,2923,3699,21917,19%,13%,12%,13%,13%,13%,17%,100%
"Sequatchie County, Tennessee",2540,1898,1995,1780,2144,2392,3316,16065,16%,12%,12%,11%,13%,15%,21%,100%
"Sevier County, Tennessee",16525,10885,11746,11340,13205,15100,19654,98455,17%,11%,12%,12%,13%,15%,20%,100%
"Shelby County, Tennessee",193345,122319,136889,117084,111864,113186,131753,926440,21%,13%,15%,13%,12%,12%,14%,100%
"Smith County, Tennessee",3655,2370,2524,2413,2755,3026,3291,20034,18%,12%,13%,12%,14%,15%,16%,100%
"Stewart County, Tennessee",2524,1485,1513,1515,1803,2068,2816,13724,18%,11%,11%,11%,13%,15%,21%,100%
"Sullivan County, Tennessee",24603,18008,18690,17723,21987,22827,34884,158722,16%,11%,12%,11%,14%,14%,22%,100%
"Sumner County, Tennessee",37429,23623,24640,26458,26490,26134,32071,196845,19%,12%,13%,13%,13%,13%,16%,100%
"Tipton County, Tennessee",11939,7903,7794,7977,7946,8405,9152,61116,20%,13%,13%,13%,13%,14%,15%,100%
"Trousdale County, Tennessee",1632,1593,2679,1516,1404,1291,1481,11596,14%,14%,23%,13%,12%,11%,13%,100%
"Unicoi County, Tennessee",2694,1862,1891,2008,2455,2756,4179,17845,15%,10%,11%,11%,14%,15%,23%,100%
"Union County, Tennessee",3438,2358,2313,2390,2646,3093,3622,19860,17%,12%,12%,12%,13%,16%,18%,100%
"Van Buren County, Tennessee",993,601,667,645,889,905,1482,6182,16%,10%,11%,10%,14%,15%,24%,100%
"Warren County, Tennessee",7887,4990,5028,5133,5365,5436,7324,41163,19%,12%,12%,12%,13%,13%,18%,100%
"Washington County, Tennessee",20293,21730,16972,15405,16550,17683,24649,133282,15%,16%,13%,12%,12%,13%,18%,100%
"Wayne County, Tennessee",2264,1842,2214,2160,2410,2333,3102,16325,14%,11%,14%,13%,15%,14%,19%,100%
"Weakley County, Tennessee",5054,6770,3683,3486,3792,4089,6072,32946,15%,21%,11%,11%,12%,12%,18%,100%
"White County, Tennessee",5024,2979,3223,3250,3506,3852,5586,27420,18%,11%,12%,12%,13%,14%,20%,100%
"Williamson County, Tennessee",52574,33277,22262,36568,37749,31916,34551,248897,21%,13%,9%,15%,15%,13%,14%,100%
"Wilson County, Tennessee",28557,18023,17455,21039,20652,19854,23516,149096,19%,12%,12%,14%,14%,13%,16%,100%
