county,Built 2020 or later,Built 2010 to 2019,Built 2000 to 2009,Built 1990 to 1999,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
average,270,3426,5111,5354,4329,4676,3107,2695,1322,1824
Anderson,248,1965,3832,4987,4847,4539,3955,3640,5555,1758
Bedford,121,1599,4007,3725,3111,1985,1531,1779,476,1479
Benton,19,741,1131,1729,1035,1365,1124,819,214,360
Bledsoe,60,636,1260,1415,629,788,431,194,173,274
Blount,296,5955,11308,10891,7962,8755,4084,4240,2939,3628
Bradley,217,4731,7078,7864,5850,8027,4803,3030,1301,2023
Campbell,35,1367,2934,3428,3239,3569,2056,1666,744,1117
Cannon,79,459,1206,1347,609,533,672,692,249,492
Carroll,40,845,1492,2199,1319,2134,1983,1084,1023,998
Carter,53,1326,3291,4673,3748,3848,3103,2672,1845,3322
Cheatham,234,1498,2589,4098,2886,2212,1227,1006,313,801
Chester,8,670,1373,1563,1221,906,493,395,343,252
Claiborne,46,1236,2554,2713,2332,3242,1075,768,426,966
Clay,20,310,574,565,591,784,565,209,71,292
Cocke,74,1183,2501,4039,2551,2578,1662,1100,768,1377
Coffee,265,2108,4209,4585,3469,3792,2872,2343,664,651
Crockett,1,270,802,1106,708,1149,788,472,326,487
Cumberland,389,3087,6902,6756,4526,4757,1746,853,613,926
Davidson,5141,49764,46000,38683,47640,43646,38270,31505,12157,20947
Decatur,34,398,1163,1166,861,1077,772,479,411,223
DeKalb,61,657,1783,1740,1150,2041,1063,636,207,565
Dickson,204,1868,3670,4617,3901,3247,1612,1093,848,1682
Dyer,77,674,1856,2438,2461,3097,1994,1574,728,1379
Fayette,177,2127,5030,3584,1783,2098,1524,684,411,354
Fentress,39,1002,1527,1969,1480,1351,974,431,209,224
Franklin,353,1505,2819,3523,2894,2814,1960,1459,806,1432
Gibson,56,1066,3644,2733,2479,3464,2452,2773,1589,2147
Giles,54,1291,1438,2568,1799,2593,1617,717,375,1538
Grainger,110,994,1797,3007,1750,1414,797,589,366,826
Greene,70,2177,5109,4970,4439,5575,3270,3194,1122,2374
Grundy,8,352,1107,998,897,1225,420,481,167,561
Hamblen,129,1565,2949,4984,3564,5774,4076,2415,1307,802
Hamilton,901,17378,21749,19962,19876,24599,18569,18610,7819,14071
Hancock,2,309,493,561,703,509,270,280,151,388
Hardeman,10,619,1092,1978,1861,1588,1356,838,633,724
Hardin,130,887,2257,3031,2359,3108,1564,1128,225,328
Hawkins,136,1743,3717,5566,4378,4038,2342,2197,1041,1980
Haywood,4,332,1021,884,1307,1904,1016,587,462,757
Henderson,36,615,2320,2884,1979,1684,1660,1010,312,401
Henry,57,1359,2407,2701,2625,2629,1824,1126,585,1663
Hickman,77,674,1769,2221,1636,1833,654,574,494,571
Houston,5,205,416,789,583,824,331,229,160,415
Humphreys,32,734,1059,1536,978,1546,1089,796,475,622
Jackson,21,312,757,1322,1320,713,395,316,236,441
Jefferson,65,2325,4348,5420,3731,3005,2089,1414,821,1672
Johnson,42,229,1408,1674,1412,1487,697,535,571,686
Knox,1936,20803,31611,34119,27889,30479,21989,17895,10578,14775
Lake,15,68,206,202,500,511,417,268,202,119
Lauderdale,27,430,1814,1910,1373,1772,1127,1028,431,795
Lawrence,53,1308,1904,3330,2669,3303,2129,2017,857,1090
Lewis,120,298,888,1469,862,652,566,348,335,143
Lincoln,22,1263,2915,2605,2204,1793,1708,1302,532,1658
Loudon,424,3129,4814,4555,2743,3002,1602,1753,853,1905
McMinn,79,1657,3989,4233,3123,3288,2286,2465,1120,1693
McNairy,25,769,1754,2615,1599,2385,1290,813,515,509
Macon,57,1067,1685,2294,1110,1480,1277,617,643,463
Madison,81,2958,6494,9021,6125,6766,4326,3983,1375,2619
Marion,50,1152,2188,2269,2705,2350,1213,739,302,695
Marshall,138,1394,2500,3140,1639,1508,1236,1093,714,995
Maury,933,7167,7519,6844,4616,5071,4046,2936,1805,2527
Meigs,57,506,1430,1538,907,642,396,172,151,288
Monroe,167,1776,4471,4396,3419,3542,1416,859,529,808
Montgomery,1255,16304,18216,17111,10458,10030,5442,3845,2412,2147
Moore,13,376,519,662,312,404,280,103,11,301
Morgan,50,884,1059,1616,1323,1299,604,762,324,625
Obion,40,839,1183,2041,1835,2439,2353,1491,843,1271
Overton,100,764,1462,1828,1227,1674,1209,925,436,728
Perry,25,322,836,958,578,668,498,330,144,449
Pickett,0,186,1098,406,310,691,410,143,60,57
Polk,18,745,1470,1848,1043,1653,424,395,343,742
Putnam,135,5071,5948,6450,6128,5143,2800,1829,948,1055
Rhea,63,1434,2948,3046,2005,2558,1279,774,487,581
Roane,189,1160,3694,3721,3400,4627,2125,3456,1276,1811
Robertson,300,2944,6253,5765,3777,4001,2056,1503,577,1527
Rutherford,2770,26922,33280,25666,17083,12141,5691,4537,1785,1933
Scott,20,532,1864,2314,1615,1623,778,506,194,388
Sequatchie,83,775,1744,1361,1123,771,312,307,156,283
