county,Built 2020 or later,Built 2000 to 2019,Built 1980 to 1999,Built 1960 to 1979,Built 1940 to 1959,Built 1939 or earlier
average,270,8537,9683,7783,4017,1824
Anderson,248,5797,9834,8494,9195,1758
Bedford,121,5606,6836,3516,2255,1479
Benton,19,1872,2764,2489,1033,360
Bledsoe,60,1896,2044,1219,367,274
Blount,296,17263,18853,12839,7179,3628
Bradley,217,11809,13714,12830,4331,2023
Campbell,35,4301,6667,5625,2410,1117
Cannon,79,1665,1956,1205,941,492
Carroll,40,2337,3518,4117,2107,998
Carter,53,4617,8421,6951,4517,3322
Cheatham,234,4087,6984,3439,1319,801
Chester,8,2043,2784,1399,738,252
Claiborne,46,3790,5045,4317,1194,966
Clay,20,884,1156,1349,280,292
Cocke,74,3684,6590,4240,1868,1377
Coffee,265,6317,8054,6664,3007,651
Crockett,1,1072,1814,1937,798,487
Cumberland,389,9989,11282,6503,1466,926
Davidson,5141,95764,86323,81916,43662,20947
Decatur,34,1561,2027,1849,890,223
DeKalb,61,2440,2890,3104,843,565
Dickson,204,5538,8518,4859,1941,1682
Dyer,77,2530,4899,5091,2302,1379
Fayette,177,7157,5367,3622,1095,354
Fentress,39,2529,3449,2325,640,224
Franklin,353,4324,6417,4774,2265,1432
Gibson,56,4710,5212,5916,4362,2147
Giles,54,2729,4367,4210,1092,1538
Grainger,110,2791,4757,2211,955,826
Greene,70,7286,9409,8845,4316,2374
Grundy,8,1459,1895,1645,648,561
Hamblen,129,4514,8548,9850,3722,802
Hamilton,901,39127,39838,43168,26429,14071
Hancock,2,802,1264,779,431,388
Hardeman,10,1711,3839,2944,1471,724
Hardin,130,3144,5390,4672,1353,328
Hawkins,136,5460,9944,6380,3238,1980
Haywood,4,1353,2191,2920,1049,757
Henderson,36,2935,4863,3344,1322,401
Henry,57,3766,5326,4453,1711,1663
Hickman,77,2443,3857,2487,1068,571
Houston,5,621,1372,1155,389,415
Humphreys,32,1793,2514,2635,1271,622
Jackson,21,1069,2642,1108,552,441
Jefferson,65,6673,9151,5094,2235,1672
Johnson,42,1637,3086,2184,1106,686
Knox,1936,52414,62008,52468,28473,14775
Lake,15,274,702,928,470,119
Lauderdale,27,2244,3283,2899,1459,795
Lawrence,53,3212,5999,5432,2874,1090
Lewis,120,1186,2331,1218,683,143
Lincoln,22,4178,4809,3501,1834,1658
Loudon,424,7943,7298,4604,2606,1905
McMinn,79,5646,7356,5574,3585,1693
McNairy,25,2523,4214,3675,1328,509
Macon,57,2752,3404,2757,1260,463
Madison,81,9452,15146,11092,5358,2619
Marion,50,3340,4974,3563,1041,695
Marshall,138,3894,4779,2744,1807,995
Maury,933,14686,11460,9117,4741,2527
Meigs,57,1936,2445,1038,323,288
Monroe,167,6247,7815,4958,1388,808
Montgomery,1255,34520,27569,15472,6257,2147
Moore,13,895,974,684,114,301
Morgan,50,1943,2939,1903,1086,625
Obion,40,2022,3876,4792,2334,1271
Overton,100,2226,3055,2883,1361,728
Perry,25,1158,1536,1166,474,449
Pickett,0,1284,716,1101,203,57
Polk,18,2215,2891,2077,738,742
Putnam,135,11019,12578,7943,2777,1055
Rhea,63,4382,5051,3837,1261,581
Roane,189,4854,7121,6752,4732,1811
Robertson,300,9197,9542,6057,2080,1527
Rutherford,2770,60202,42749,17832,6322,1933
Scott,20,2396,3929,2401,700,388
Sequatchie,83,2519,2484,1083,463,283
Sevier,679,21204,21200,9563,2969,1113
Shelby,1000,66149,109987,114991,85644,23270
Smith,40,1465,2967,2133,1057,915
Stewart,41,1513,2539,1756,485,361
Sullivan,147,12290,20542,21536,15845,5326
Sumner,793,30188,23252,19085,4055,2108
Tipton,61,7010,9218,4757,1940,1059
Trousdale,72,1135,999,1042,200,328
Unicoi,0,1289,2419,2385,1563,1077
Union,36,3276,3447,1844,581,425
Van Buren,0,733,717,1030,183,233
Warren,60,2654,5491,6630,2451,878
Washington,384,16200,17445,14458,7876,4541
Wayne,40,1230,2551,2182,743,438
Weakley,38,2768,4023,4736,2301,1136
White,78,2746,3955,3209,1257,775
Williamson,1553,44714,29000,12530,2228,1803
Wilson,1156,24742,17467,11331,2720,1551
