county,n_white,n_black_or_african_american,n_other,n_two_or_more,n_hispanic_or_latino,n_not_hispanic_latino,p_white,p_black_or_african_american,p_other,p_two_or_more,p_hispanic_or_latino,p_not_hispanic_latino
total,5182736,1126815,287370,326851,412622,6511150,75%,16%,4%,5%,6%,94%
"Anderson County, Tennessee",68460,2446,2344,4087,2661,74676,89%,3%,3%,5%,3%,97%
"Bedford County, Tennessee",41327,3267,2270,3669,6857,43676,82%,6%,4%,7%,14%,86%
"Benton County, Tennessee",14836,304,311,482,289,15644,93%,2%,2%,3%,2%,98%
"Bledsoe County, Tennessee",13226,845,134,611,448,14368,89%,6%,1%,4%,3%,97%
"Blount County, Tennessee",124296,3589,2001,6065,5234,130717,91%,3%,1%,4%,4%,96%
"Bradley County, Tennessee",94075,5263,4487,5034,7506,101353,86%,5%,4%,5%,7%,93%
"Campbell County, Tennessee",37935,117,415,930,661,38736,96%,0%,1%,2%,2%,98%
"Cannon County, Tennessee",13670,359,133,319,397,14084,94%,2%,1%,2%,3%,97%
"Carroll County, Tennessee",24378,2520,290,1193,881,27500,86%,9%,1%,4%,3%,97%
"Carter County, Tennessee",53105,1221,675,1314,1526,54789,94%,2%,1%,2%,3%,97%
"Cheatham County, Tennessee",37902,789,1049,1444,1580,39604,92%,2%,3%,4%,4%,96%
"Chester County, Tennessee",14988,1795,186,423,511,16881,86%,10%,1%,2%,3%,97%
"Claiborne County, Tennessee",30497,272,353,970,482,31610,95%,1%,1%,3%,2%,98%
"Clay County, Tennessee",7154,53,234,151,211,7381,94%,1%,3%,2%,3%,97%
"Cocke County, Tennessee",34045,433,533,1175,1029,35157,94%,1%,1%,3%,3%,97%
"Coffee County, Tennessee",51466,2249,1845,2520,3030,55050,89%,4%,3%,4%,5%,95%
"Crockett County, Tennessee",10419,1544,696,1296,1610,12345,75%,11%,5%,9%,12%,88%
"Cumberland County, Tennessee",58492,574,971,1515,1982,59570,95%,1%,2%,2%,3%,97%
"Davidson County, Tennessee",423888,186862,53857,45179,75237,634549,60%,26%,8%,6%,11%,89%
"Decatur County, Tennessee",10560,270,68,585,408,11075,92%,2%,1%,5%,4%,96%
"DeKalb County, Tennessee",18366,350,729,764,1697,18512,91%,2%,4%,4%,8%,92%
"Dickson County, Tennessee",49230,2155,769,2409,2301,52262,90%,4%,1%,4%,4%,96%
"Dyer County, Tennessee",29118,4889,640,2171,1382,35436,79%,13%,2%,6%,4%,96%
"Fayette County, Tennessee",28419,11411,1247,1151,1335,40893,67%,27%,3%,3%,3%,97%
"Fentress County, Tennessee",17874,60,182,526,344,18298,96%,0%,1%,3%,2%,98%
"Franklin County, Tennessee",38296,2102,1051,1531,1614,41366,89%,5%,2%,4%,4%,96%
"Gibson County, Tennessee",38755,8061,996,2643,1525,48930,77%,16%,2%,5%,3%,97%
"Giles County, Tennessee",25589,2772,490,1466,1001,29316,84%,9%,2%,5%,3%,97%
"Grainger County, Tennessee",22665,320,168,495,862,22786,96%,1%,1%,2%,4%,96%
"Greene County, Tennessee",65527,1217,940,2715,2290,68109,93%,2%,1%,4%,3%,97%
"Grundy County, Tennessee",12920,49,81,500,216,13334,95%,0%,1%,4%,2%,98%
"Hamblen County, Tennessee",55250,2131,2739,4411,7928,56603,86%,3%,4%,7%,12%,88%
"Hamilton County, Tennessee",266269,65680,15425,19819,22890,344303,73%,18%,4%,5%,6%,94%
"Hancock County, Tennessee",6507,37,52,130,47,6679,97%,1%,1%,2%,1%,99%
"Hardeman County, Tennessee",13918,10135,365,1101,507,25012,55%,40%,1%,4%,2%,98%
"Hardin County, Tennessee",25027,909,117,771,705,26119,93%,3%,0%,3%,3%,97%
"Hawkins County, Tennessee",54099,594,606,1808,1017,56090,95%,1%,1%,3%,2%,98%
"Haywood County, Tennessee",7883,8946,629,348,766,17040,44%,50%,4%,2%,4%,96%
"Henderson County, Tennessee",24584,2270,315,676,753,27092,88%,8%,1%,2%,3%,97%
"Henry County, Tennessee",28304,2393,484,1124,916,31389,88%,7%,1%,3%,3%,97%
