county,2018,2019,2020,2021,2022
total,3.5,3.3,7.5,4.5,3.4
"Anderson County, TN",3.8,3.5,6.7,4,3.3
"Bedford County, TN",3.7,3.7,8,4.3,3.4
"Benton County, TN",4.9,4.4,7.9,5,4.1
"Bledsoe County, TN",5.9,5.4,8.4,5.5,5.3
"Blount County, TN",3.2,3.1,6.4,3.6,3.1
"Bradley County, TN",3.6,3.4,6.6,4.3,3.6
"Campbell County, TN",4.8,4.5,7.6,5,4.1
"Cannon County, TN",3.1,3,6.5,3.6,3
"Carroll County, TN",4.9,4.8,7.4,4.7,3.9
"Carter County, TN",4.1,4,6.8,4.4,3.6
"Cheatham County, TN",2.7,2.6,5.7,3.3,2.7
"Chester County, TN",3.7,3.4,5.6,3.4,3
"Claiborne County, TN",4.2,4.1,7.4,4.3,3.8
"Clay County, TN",4.9,5.9,7.8,5.5,4.6
"Cocke County, TN",4.7,4.5,10.4,5.8,5.1
"Coffee County, TN",3.5,3.3,8,4.3,3.4
"Crockett County, TN",3.9,3.4,5.8,3.7,3.2
"Cumberland County, TN",4.4,4.5,7.5,5,4.3
"Davidson County, TN",2.6,2.5,8.3,4.4,2.8
"Decatur County, TN",5,5.3,8.6,6,4.5
"DeKalb County, TN",4.5,4.3,9.1,4.7,3.8
"Dickson County, TN",3,3,6,3.6,3
"Dyer County, TN",4.5,4.8,7.9,4.8,3.6
"Fayette County, TN",3.7,3.6,6.2,4.3,3.5
"Fentress County, TN",4.1,4.1,6.3,4.2,3.8
"Franklin County, TN",3.4,3.3,8,4.1,3.5
"Gibson County, TN",4.3,4.2,6.8,4.5,3.5
"Giles County, TN",3.6,3.8,8.3,4.5,3.3
"Grainger County, TN",3.9,4,7.1,4.5,3.8
"Greene County, TN",4.6,4.6,8.1,4.6,4
"Grundy County, TN",4.4,4.1,10,5.8,4.5
"Hamblen County, TN",3.8,3.8,7.1,4.2,3.6
"Hamilton County, TN",3.4,3.2,7.1,4.3,3.4
"Hancock County, TN",4.8,5.8,8.2,5,4.2
"Hardeman County, TN",4.9,4.9,7.9,6.3,4.2
"Hardin County, TN",4.4,4.2,7,4.7,4
"Hawkins County, TN",4,4.1,7.7,4.7,3.9
"Haywood County, TN",5.3,4.8,8.7,6.1,4.5
"Henderson County, TN",4.7,4.3,8.1,4.6,3.6
"Henry County, TN",4.2,4.1,7.1,4.3,4
"Hickman County, TN",3.2,3,5.8,3.7,2.9
"Houston County, TN",5.4,4.5,7.8,5.1,4.4
"Humphreys County, TN",4.3,3.8,6.2,4.1,3.5
"Jackson County, TN",4.7,4.5,7.9,4.6,3.9
"Jefferson County, TN",3.8,3.7,7.5,4.3,3.6
"Johnson County, TN",3.5,3.4,6.3,3.7,3.4
"Knox County, TN",2.9,2.9,5.9,3.4,2.9
"Lake County, TN",5.1,5.4,8.1,6.1,5
"Lauderdale County, TN",5.8,5.3,8.8,6.2,4.7
"Lawrence County, TN",4,4.1,7.8,4.5,3.5
"Lewis County, TN",4.4,4,7.5,5,3.6
"Lincoln County, TN",3,3.5,8.4,4.2,3.2
"Loudon County, TN",3.4,3.3,6.2,3.6,3.2
"McMinn County, TN",4.1,3.7,7.8,4.8,4
"McNairy County, TN",5.5,5.2,8.4,5.6,4.6
"Macon County, TN",3.2,3.1,6.5,3.9,3.1
"Madison County, TN",3.8,3.5,7.5,4.7,3.4
"Marion County, TN",4.6,4.2,7.6,4.6,3.9
"Marshall County, TN",3.4,3.5,9.1,4.8,3.3
"Maury County, TN",3.2,3.1,8.1,5,3
"Meigs County, TN",4.6,4.5,8.7,5.1,4.4
"Monroe County, TN",3.7,3.6,8,4,3.4
"Montgomery County, TN",3.8,3.7,7.6,4.7,3.7
"Moore County, TN",3,2.9,5.3,2.8,2.5
"Morgan County, TN",4.5,4.1,6.3,4.6,3.8
"Obion County, TN",4.9,4.8,6.8,4.9,3.9
"Overton County, TN",3.7,3.7,6.3,3.8,3.4
"Perry County, TN",4.3,4.9,9.6,7.6,5.4
"Pickett County, TN",3.8,4.6,6,4,3.8
"Polk County, TN",4.2,4,6.8,4.4,3.7
"Putnam County, TN",3.6,3.5,6.5,3.9,3.4
"Rhea County, TN",5.6,5.6,9.6,5.1,4.3
"Roane County, TN",4.1,4,6.4,4.2,3.7
"Robertson County, TN",3.1,2.9,6.1,3.5,2.8
"Rutherford County, TN",2.7,2.5,7,3.6,2.7
"Scott County, TN",4.4,4.3,8.4,5.3,4.9
"Sequatchie County, TN",4.3,4.1,7.8,4.7,4.1
"Sevier County, TN",3.5,3.2,9.8,4.1,3.2
"Shelby County, TN",4.1,3.9,9.6,7,4.5
"Smith County, TN",3,3,6.1,3.5,3
"Stewart County, TN",4.9,4.4,6.4,4.3,3.9
"Sullivan County, TN",3.7,3.6,7.1,4.4,3.5
"Sumner County, TN",2.8,2.6,6.5,3.5,2.7
"Tipton County, TN",4.2,3.8,6.7,4.5,3.6
"Trousdale County, TN",3.2,3,6.3,3.9,3
"Unicoi County, TN",4.9,4.9,7.9,5.1,4.3
"Union County, TN",4,4,6.9,4.2,3.8
"Van Buren County, TN",4.7,4.5,8.5,5.2,4.2
"Warren County, TN",4,4,8.9,5,4.2
"Washington County, TN",3.5,3.4,6.3,3.8,3.2
"Wayne County, TN",4.8,4.6,6.8,4.3,4.5
"Weakley County, TN",4.2,4,5.7,4,3.5
"White County, TN",3.6,3.6,7.1,4.1,3.5
"Williamson County, TN",2.5,2.4,4.7,2.6,2.4
"Wilson County, TN",2.8,2.7,6.4,3.4,2.6
average,4,3.9,7.4,4.5,3.7
