CATEGORY,METRIC TITLE,VAR,METRIC DESCRIPTION,AVERAGE TN COUNTY,AVERAGE TN COUNTY CLEAN,YEAR of DATA,SOURCE OF DATA,NOTES
Children,Uninsured Children,uninsured_children,Percentage of children under age 19 without health insurance,4.9%,0.049,2021,"US Census Bureau, ACS 5-Yr Estimates",
Children,Child Care Centers,,"Number of child care centers per 1,000 population under 5 years old.",9 for every 1k,0.009,2022,University of Wisconsin Population Health Institute - County Health Rankings,
Children,Children in Single-Parent Households,,Percentage of children that live in a household headed by a single parent.,25.1%,0.251,2022,"US Census Bureau, ACS 5-Yr Estimates",
Children,Children in Food-Insecure Households,,"the percent of children under age 18 living in households, where in the previous 12 months, there was an uncertainty of having, or an inability to acquire, enough food for all household members because of insufficient money or other resources. ",13.5%,0.135,2021,Feeding America - Map the Meal Gap,
Children,Disconnected Youth,,Percentage of teens and young adults ages 16-19 who are neither working nor in school.,8.7%,0.087,2022,"US Census Bureau, ACS 5-Yr Estimates",
Children + Economy,Children in Poverty,poverty_rate_child,The share of persons under age 18 below the federal poverty level.,22.0%,0.22,2021,"US Census Bureau, ACS 5-Yr Estimates",
Children/Economy,Children Receiving Public Assistance,,"The percent of children ages 18 and under in households with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the previous 12 months.",29.7%,0.297,2022,"US Census Bureau, ACS 5-Yr Estimates",
Children/Economy,Households with Children Receiving Food Stamps,food_stamps_households_w_children,The percent of households with children under the age of 18 receiving food stamps.,23.9%,0.239,2022,"US Census Bureau, ACS 5-Yr Estimates",
Children,Child Care Cost Burden,child_care_cost,Child care costs for a household with two children as a percent of median household income.,24.3%,0.243,2022,University of Wisconsin Population Health Institute - County Health Rankings,
Children/Health,Youth Obesity,obesity_child,Prevalence of Overweight or Obese (BMI ≥ 85th percentile) Assessed Students in Tennessee Public Schools by County,42.5%,0.425,2019-2020,Tennessee Department of Education,
Criminal Justice & the Courts,Incarceration Rate,incarcerated_per_100k,"The incarceration rate per 100,000 residents ages 15 to 64. ",1434 per 100k,0.01434,2020,Vera Institute for Justice,
Criminal Justice & the Courts,Crime Rate,crimes_per_100k,"The number of overall crimes per 1,000 residents. ",46.49 per 1k,0.04649,2022,Tennessee Bureau of Investigation,
Criminal Justice & the Courts,Firearm Fatalities,firearm_fatalities_per_100k,"The number of deaths due to firearms per 100,000 population.",18.6 per 100k,0.000186,2020,University of Wisconsin Population Health Institute - County Health Rankings,
Criminal Justice & the Courts,Prison Capacity,prison_capacity,"Of the currently populated jail facilities, the percent of total bed capacity occupied by inmates.",84.7%,0.847,2022,Tennessee Department of Correction,
Economy,Poverty,poverty_rate_all,"Percent of people who had incomes below the federal poverty line ($27,740 for a family of four [2021])",16.1%,0.161,2021,"US Census Bureau, ACS 5-Yr Estimates",
Economy,Unemployment,unemployment_rate,The percent of the labor force in the unemployed. ,3.7%,0.037,2022,"U.S. Department of Labor, Bureau of Labor Statistics",
